deliverCount,workYear,salaryMin,financeStage,pvScore,city,companyLogo,district,industryField,education,createTime,companySize,positionName,companyName,jobNature,companyLabelList,positionId,salaryAvg,salaryMax,showCount,positionType,positionAdvantage
0,不限,3,初创型(未融资),4.600390350573162,上海,i/image/M00/34/2A/Cgp3O1dU706AWOZWAAXX487ADR0854.png,闵行区,移动互联网,学历不限,2016-07-03 13:49:47,15-50人,市场营销,彰法信息,全职,,2043138,3,4,36,市场/营销,交通补贴，出差报销，住宿
0,1-3年,10,成长型(A轮),5.642435018603658,上海,upload/logo/ff8080814b62220e014b6315d9050086.jpg,徐汇区,移动互联网 · 社交网络,大专,2016-07-03 13:47:42,15-50人,媒介经理,上海人鱼线科技有限公司,全职,"节日礼物,年度旅游,扁平管理,帅哥多",2043137,15,20,43,公关,交通便利，办公环境好，领导好，福利好
0,3-5年,25,成长型(不需要融资),8.957267998676851,北京,i/image/M00/29/88/Cgp3O1cwELGAMBXQAAAeurU90Zk532.png,朝阳区,移动互联网 · 电子商务,本科,2016-07-03 13:45:32,150-500人,产品经理,唯为家电,全职,,2043136,27,30,181,产品经理,带薪年假 五险一金 年终绩效奖金
0,不限,15,上市公司,38.0758969228972,上海,i/image/M00/12/48/Cgp3O1blDwWAFaTkAAAZnrYVw7k924.jpg,虹口区,金融,学历不限,2016-07-03 13:44:50,2000人以上,金融市场客户经理（初、中、高级）/团队经理,兴业银行上海虹口支行,全职,,1581066,22,30,61,高端金融职位,气氛自由、岗位晋升、绩效奖金、管理规范
1,不限,15,上市公司,42.70390649363608,上海,i/image/M00/12/48/Cgp3O1blDwWAFaTkAAAZnrYVw7k924.jpg,虹口区,金融,学历不限,2016-07-03 13:44:49,2000人以上,投行客户经理（初、中、高级）/团队经理,兴业银行上海虹口支行,全职,,1581064,22,30,78,高端金融职位,气氛自由、岗位晋升、绩效奖金、管理规范
6,1-3年,5,成长型(A轮),145.17530722878735,上海,upload/logo/ff8080814b62220e014b6315d9050086.jpg,徐汇区,移动互联网 · 社交网络,大专,2016-07-03 13:44:34,15-50人,市场专员,上海人鱼线科技有限公司,全职,"节日礼物,年度旅游,扁平管理,帅哥多",1939224,7,10,77,市场/营销,环境轻松，氛围好，锻炼自己
0,1-3年,6,成熟型(D轮及以上),0.0206326236429105,上海,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,,移动互联网 · 企业服务,本科,2016-07-03 15:07:04,500-2000人,软件测试,泛微,全职,"技能培训,带薪年假,绩效奖金,岗位晋升",2043170,7,8,2,测试,工作日美味三餐、半年调薪 、国外旅游
0,1年以下,8,成熟型(D轮及以上),0.041265247285821,上海,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,,移动互联网 · 企业服务,大专,2016-07-03 15:06:56,500-2000人,PHP开发,泛微,全职,"技能培训,带薪年假,绩效奖金,岗位晋升",2043169,9,10,4,后端开发,半年调薪 工作日三餐 国外旅游
5,1-3年,6,成长型(A轮),7.000701980409416,上海,i/image/M00/27/BA/Cgp3O1cosNSAdVQ9AABAu64UFVQ141.jpg,杨浦区,移动互联网 · 电子商务,本科,2016-07-03 14:29:21,50-150人,时尚美编,小鹿美美,全职,"绩效奖金,岗位晋升,年度旅游,扁平管理",1475782,9,12,138,编辑,晋升空间 领导nice
0,3-5年,6,成长型(A轮),18.751110996758143,上海,i/image/M00/27/BA/Cgp3O1cosNSAdVQ9AABAu64UFVQ141.jpg,杨浦区,移动互联网 · 电子商务,本科,2016-07-03 14:29:20,50-150人,资深设计/资深淘宝美工/设计,小鹿美美,全职,"绩效奖金,岗位晋升,年度旅游,扁平管理",1817401,8,10,427,视觉设计,晋升空间、领导nice、牛人多多
